ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"188.132.146.23","elite","AS207474","TR","Hatnet Bilgi iletisim Teknolojileri ve Ticaret Limited Sirketi","182","Hatnet Bilgi iletisim Teknolojileri ve Ticaret Limited Sirketi","1080","socks4","4394","1","2023-08-15T10:42:07.520Z","94","3208","3399"
"109.86.228.165","elite","AS13188","UA","Triolan","83","N/A","5678","socks4","4495","2","2023-08-15T10:42:07.519Z","97","3278","3366"
"170.254.255.239","elite","AS52584","BR","Connect Fibra","294","Connect Fibra","45816","socks4","4107","1","2023-08-15T10:41:54.507Z","99","3338","3387"
"117.241.134.235","elite","AS9829","IN","BSNL Internet","195","N/A","5678","socks4","4499","2","2023-08-15T10:41:54.506Z","97","3274","3382"
"208.113.220.98","elite","AS26347","US","New Dream Network, LLC","85","New Dream Network, LLC","36869","socks5","5099","1","2023-08-15T10:41:54.503Z","100","3363","3369"
"93.171.224.57","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","92","PE TV and Radio Company Kentavr-TV","4153","socks4","4795","1","2023-08-15T10:41:54.505Z","99","3418","3444"
"114.7.161.18","elite","AS4761","ID","PT. INDOSAT Tbk","190","PT. INDOSAT Tbk","1080","socks4","4606","1","2023-08-15T10:41:54.500Z","97","3342","3432"
"186.236.8.19","elite","AS28146","BR","Mhnet Telecom","297","Mhnet Telecom","4145","socks4","4691","82","2023-08-15T10:41:54.507Z","94","3168","3359"
"94.139.169.250","elite","AS206065","IR","Farabord Dadeh Haye Iranian Co.","147","WiMAX","5678","socks4","4201","1","2023-08-15T10:41:54.503Z","98","3338","3390"
"149.28.44.246","elite","AS20473","US","The Constant Company","86","Vultr Holdings, LLC","10041","socks4","4603","1","2023-08-15T10:41:54.505Z","62","2042","3319"
"139.255.41.122","elite","AS9905","ID","PT. LINKNET","200","N/A","2135","socks5","5690","1","2023-08-15T10:41:42.205Z","95","3227","3384"
